Name; x; y; orientation; info; TimeEntry; TimeExit
-45960;-20.14861;44.32412;178.55540;Obstacle;0;76673
-45974;-13.49033;49.04474;183.15740;Obstacle;0;76673
-45988;12.07394;39.81371;63.47338;Obstacle;0;76673
-46002;-9.84653;31.08744;136.04420;Obstacle;0;76673
-46016;-6.44876;58.02114;183.14600;Obstacle;0;76673
-46030;-0.76775;43.87289;339.51800;Obstacle;0;76673
-46044;-18.92108;73.51492;171.76090;Obstacle;0;76673
-46058;-17.24411;70.79239;260.37740;Obstacle;0;76673
-46072;5.12448;40.70260;221.75780;Obstacle;0;76673
-46086;24.57247;49.14642;153.41550;Obstacle;0;76673
-46100;23.89392;45.27925;92.15426;Obstacle;0;76673
-46114;-5.42367;55.22626;217.27030;Obstacle;0;76673
-46128;-13.90179;50.35077;287.99580;Obstacle;0;76673
-46142;-9.24828;40.03904;155.80440;Obstacle;0;76673
-46156;3.14073;37.51802;204.82970;Obstacle;0;76673
-46170;-16.72961;35.47873;117.63340;Obstacle;0;76673
-46184;23.38242;36.22019;103.48150;Obstacle;0;76673
-46198;22.47069;35.45335;277.18850;Obstacle;0;76673
-46212;4.50380;57.72577;55.24964;Obstacle;0;76673
-46226;-12.45467;66.08717;307.60720;Obstacle;0;76673
-46240;23.26408;41.57029;89.52823;Obstacle;0;76673
-46254;17.36576;34.27161;180.53150;Obstacle;0;76673
-46268;6.44425;52.67348;2.64336;Obstacle;0;76673
-46282;18.08952;55.05856;302.66330;Obstacle;0;76673
-46296;6.05133;37.74091;227.33170;Obstacle;0;76673
-46310;17.26356;70.90022;196.44000;Obstacle;0;76673
-46324;17.28774;30.61105;200.91170;Obstacle;0;76673
-46338;-21.15393;45.66737;260.88680;Obstacle;0;76673
-46352;-18.50069;31.55847;249.86260;Obstacle;0;76673
-46366;13.62398;31.00013;107.21710;Obstacle;0;76673
-46380;8.79705;26.71515;61.16874;Obstacle;0;76673
-46394;-15.95265;37.92471;132.38770;Obstacle;0;76673
-46408;-13.99444;57.80440;299.08520;Obstacle;0;76673
-46422;-10.56062;68.35005;333.45780;Obstacle;0;76673
-46436;12.09852;44.50201;220.01820;Obstacle;0;76673
-46450;-1.92713;35.71454;140.41340;Obstacle;0;76673
-46464;21.46161;44.53976;212.56540;Obstacle;0;76673
-46478;-1.90881;26.58597;212.53360;Obstacle;0;76673
-46492;-5.74866;57.15914;281.60890;Obstacle;0;76673
-46506;0.77210;33.65641;46.81171;Obstacle;0;76673
-46520;0.55929;41.41964;232.00480;Obstacle;0;76673
-46534;-1.17067;68.21027;16.20799;Obstacle;0;76673
-46548;10.13339;38.90358;193.27430;Obstacle;0;76673
-46562;24.20430;28.69965;278.79360;Obstacle;0;76673
-46576;6.37524;50.12125;61.12084;Obstacle;0;76673
-46590;3.29798;35.70277;118.53630;Obstacle;0;76673
-46604;9.48452;70.33261;346.08890;Obstacle;0;76673
-46618;12.31940;44.73413;293.65620;Obstacle;0;76673
-46632;65.60800;68.31323;190.69250;Obstacle;0;76673
-46646;53.97903;52.29050;339.90220;Obstacle;0;76673
-46660;61.47930;25.54890;154.14350;Obstacle;0;76673
-46674;45.42808;74.96672;19.59526;Obstacle;0;76673
-46688;38.24902;31.92557;330.72650;Obstacle;0;76673
-46702;28.43472;63.97438;94.96173;Obstacle;0;76673
-46716;26.16164;36.57644;30.50528;Obstacle;0;76673
-46730;64.79706;28.92511;269.36950;Obstacle;0;76673
-46744;45.23044;58.15796;129.19930;Obstacle;0;76673
-46758;39.24752;65.44457;319.49220;Obstacle;0;76673
-46772;57.81820;35.94237;308.58450;Obstacle;0;76673
-46786;63.64462;46.42824;24.88873;Obstacle;0;76673
-46800;54.49099;70.91774;211.14700;Obstacle;0;76673
-46814;32.11686;53.64903;120.81470;Obstacle;0;76673
-46828;43.55098;71.97939;351.67830;Obstacle;0;76673
-46842;65.88042;53.36825;36.05750;Obstacle;0;76673
-46856;65.60095;50.86282;104.83910;Obstacle;0;76673
-46870;56.45427;51.72600;201.10750;Obstacle;0;76673
-46884;57.37920;68.14691;101.79480;Obstacle;0;76673
-46898;54.37711;45.92247;65.38432;Obstacle;0;76673
-46912;56.35857;28.99257;217.86830;Obstacle;0;76673
-46926;57.04116;36.14160;236.19420;Obstacle;0;76673
-46940;37.27825;50.75512;269.40160;Obstacle;0;76673
-46954;30.09383;63.46683;253.54640;Obstacle;0;76673
-46968;35.30635;58.94038;241.19520;Obstacle;0;76673
