Name; x; y; orientation; info; TimeEntry; TimeExit
-44070;-21.30035;38.72134;45.90173;Obstacle;0;-1
-44084;0.12126;58.48901;23.74547;Obstacle;0;-1
-44098;-14.29723;66.46336;68.28852;Obstacle;0;-1
-44112;20.33261;48.06791;88.69966;Obstacle;0;-1
-44126;-5.26587;40.78558;112.37760;Obstacle;0;-1
-44140;18.31324;26.48507;28.64907;Obstacle;0;-1
-44154;2.29050;47.20863;82.65096;Obstacle;0;-1
-44168;-24.45110;71.40881;327.08220;Obstacle;0;-1
-44182;24.96672;52.72157;275.39300;Obstacle;0;-1
-44196;-18.07443;45.93424;204.73000;Obstacle;0;-1
-44210;13.97438;63.18913;188.36380;Obstacle;0;-1
-44224;-13.42356;54.23685;106.53880;Obstacle;0;-1
-44238;-21.07489;37.41243;325.65920;Obstacle;0;-1
-44252;8.15796;67.94435;282.58220;Obstacle;0;-1
-44266;15.44457;44.37392;56.29107;Obstacle;0;-1
-44280;-14.05763;42.85896;98.24124;Obstacle;0;-1
-44294;-3.57176;53.45677;32.33515;Obstacle;0;-1
-44308;20.91774;29.32597;231.24140;Obstacle;0;-1
-44322;3.64904;66.77982;313.56700;Obstacle;0;-1
-44336;21.97939;48.84420;114.33910;Obstacle;0;-1
-44350;3.36825;55.00799;112.32690;Obstacle;0;-1
-44364;0.86282;64.56098;46.47074;Obstacle;0;-1
-44378;1.72600;27.93160;53.13021;Obstacle;0;-1
-44392;18.14691;64.13817;31.51520;Obstacle;0;-1
-44406;-4.07753;59.08115;45.78170;Obstacle;0;-1
-44420;-21.00743;30.25948;50.69635;Obstacle;0;-1
-44434;-13.85840;32.80475;268.40340;Obstacle;0;-1
-44448;0.75512;37.41689;216.67550;Obstacle;0;-1
-44462;13.46683;35.21478;254.20570;Obstacle;0;-1
-44476;8.94038;33.49934;78.91689;Obstacle;0;-1
-44490;14.28595;67.55278;77.70608;Obstacle;0;-1
-44504;13.31383;74.18919;198.34330;Obstacle;0;-1
-44518;-0.30942;51.41609;159.81260;Obstacle;0;-1
-44532;3.06129;67.65927;6.17137;Obstacle;0;-1
-44546;-0.81452;45.18185;103.23040;Obstacle;0;-1
-44560;-7.80148;42.62186;299.15840;Obstacle;0;-1
-44574;-12.45051;48.43675;250.13320;Obstacle;0;-1
-44588;20.68298;74.22884;2.07361;Obstacle;0;-1
-44602;-6.51259;31.71313;162.38230;Obstacle;0;-1
-44616;19.63873;34.95438;180.31180;Obstacle;0;-1
-44630;-21.65334;41.79623;223.38560;Obstacle;0;-1
-44644;-5.46309;46.93948;241.88210;Obstacle;0;-1
-44658;1.95113;66.96793;69.28909;Obstacle;0;-1
-44672;-14.21994;59.47958;353.17740;Obstacle;0;-1
-44686;-2.26695;65.40946;154.85340;Obstacle;0;-1
-44700;-18.21406;25.76417;274.24980;Obstacle;0;-1
-44714;-17.25096;46.89054;93.37130;Obstacle;0;-1
-44728;22.33173;59.80872;308.13280;Obstacle;0;-1
-44742;68.82594;33.68878;119.32660;Obstacle;0;-1
-44756;55.39262;28.74913;275.67480;Obstacle;0;-1
-44770;54.34418;62.35255;312.20670;Obstacle;0;-1
-44784;29.42427;48.41813;225.40870;Obstacle;0;-1
-44798;29.10223;38.16125;351.62860;Obstacle;0;-1
-44812;66.27277;63.76714;296.58310;Obstacle;0;-1
-44826;36.65065;50.73647;156.51440;Obstacle;0;-1
-44840;58.92294;59.74033;240.16680;Obstacle;0;-1
-44854;61.42821;39.67601;128.35950;Obstacle;0;-1
-44868;50.88851;50.76582;144.17800;Obstacle;0;-1
-44882;43.55567;32.79144;176.88510;Obstacle;0;-1
-44896;27.88446;71.84953;180.12420;Obstacle;0;-1
-44910;51.51503;33.57852;196.76000;Obstacle;0;-1
-44924;28.23231;35.28195;254.92050;Obstacle;0;-1
-44938;29.54287;45.25879;176.03220;Obstacle;0;-1
-44952;34.89649;55.37659;224.09120;Obstacle;0;-1
-44966;74.35142;40.69533;119.47390;Obstacle;0;-1
-44980;34.60416;68.99388;76.76958;Obstacle;0;-1
-44994;33.27888;55.85433;54.42442;Obstacle;0;-1
-45008;66.97110;54.86246;148.13640;Obstacle;0;-1
-45022;26.87258;67.47139;272.22870;Obstacle;0;-1
-45036;53.84779;47.83643;160.36690;Obstacle;0;-1
-45050;27.64252;26.33688;347.71970;Obstacle;0;-1
-45064;45.08795;29.21429;105.18240;Obstacle;0;-1
-45078;46.16460;28.96059;30.21662;Obstacle;0;-1
-45092;70.85109;40.20390;314.08000;Obstacle;0;-1
-45106;28.37741;68.36304;332.04170;Obstacle;0;-1
-45120;44.48654;74.24505;19.15794;Obstacle;0;-1
-45134;35.52189;59.62409;73.33665;Obstacle;0;-1
-45148;33.40461;71.70805;21.34204;Obstacle;0;-1
-45162;33.73650;47.28701;60.10174;Obstacle;0;-1
-45176;59.52700;51.45742;213.47640;Obstacle;0;-1
-45190;52.61764;72.63636;291.82530;Obstacle;0;-1
-45204;32.54363;55.95766;275.33320;Obstacle;0;-1
-45218;40.48642;61.06092;109.87730;Obstacle;0;-1
-45232;68.74615;64.34007;145.43270;Obstacle;0;-1
-45246;74.77368;62.44598;134.65300;Obstacle;0;-1
-45260;49.91320;33.36603;201.88660;Obstacle;0;-1
-45274;46.89439;63.53564;274.55440;Obstacle;0;-1
-45288;60.84245;34.25083;72.98449;Obstacle;0;-1
-45302;30.01601;45.70251;30.07265;Obstacle;0;-1
-45316;73.91887;33.24754;305.14290;Obstacle;0;-1
-45330;70.18636;25.61202;335.15930;Obstacle;0;-1
-45344;36.07835;33.52734;26.83237;Obstacle;0;-1
-45358;25.91072;74.03426;242.28050;Obstacle;0;-1
-45372;65.47810;61.18248;162.75290;Obstacle;0;-1
-45386;40.65435;46.02394;304.52370;Obstacle;0;-1
-45400;43.20808;73.16135;48.41812;Obstacle;0;-1
-45414;-44.50931;-14.83949;133.16570;Obstacle;0;-1
-45428;-69.16702;1.08291;189.99120;Obstacle;0;-1
-45442;-66.70454;10.23028;227.95700;Obstacle;0;-1
-45456;-64.82632;-20.01735;160.71430;Obstacle;0;-1
-45470;-41.00361;23.12196;0.16185;Obstacle;0;-1
-45484;-60.20306;7.57848;322.19740;Obstacle;0;-1
-45498;-30.69450;-0.12709;235.44630;Obstacle;0;-1
-45512;-69.37016;-12.14949;52.44723;Obstacle;0;-1
-45526;-29.12956;-19.58410;139.49840;Obstacle;0;-1
-45540;-47.56773;-8.59914;18.67047;Obstacle;0;-1
-45554;-34.75885;-13.77052;322.42460;Obstacle;0;-1
-45568;-27.64381;-0.79447;122.01980;Obstacle;0;-1
-45582;-36.30457;-6.72356;92.92266;Obstacle;0;-1
-45596;-42.93629;13.27125;297.92170;Obstacle;0;-1
-45610;-72.89219;-4.43035;99.77954;Obstacle;0;-1
-45624;-53.46165;21.47920;309.70100;Obstacle;0;-1
-45638;-28.36621;-22.84209;295.95170;Obstacle;0;-1
-45652;-51.74324;-5.32370;358.11580;Obstacle;0;-1
-45666;-60.36323;20.47752;289.94930;Obstacle;0;-1
-45680;-29.98811;18.74079;312.83700;Obstacle;0;-1
-45694;-36.87078;23.20819;158.95090;Obstacle;0;-1
-45708;-25.14537;-6.93072;280.84090;Obstacle;0;-1
-45722;-26.17586;3.28996;164.87040;Obstacle;0;-1
-45736;-45.63924;14.94720;266.57950;Obstacle;0;-1
-45750;-47.58334;11.90875;118.69110;Obstacle;0;-1
-45764;-33.59710;-14.71496;328.33450;Obstacle;0;-1
-45778;-52.98201;-23.49054;45.14775;Obstacle;0;-1
-45792;-74.71666;0.42857;89.52081;Obstacle;0;-1
-45806;-35.58405;-10.33005;337.29710;Obstacle;0;-1
-45820;-38.75249;4.66539;66.09323;Obstacle;0;-1
-45834;-48.67289;2.90363;152.63610;Obstacle;0;-1
-45848;-72.83739;12.29566;164.20330;Obstacle;0;-1
-45862;-44.99622;-7.67692;132.29700;Obstacle;0;-1
-45876;-29.01924;17.73545;185.66630;Obstacle;0;-1
-45890;-30.64473;11.29035;241.95380;Obstacle;0;-1
-45904;-33.16388;6.95289;197.38220;Obstacle;0;-1
-45918;-42.41862;-22.64655;341.03570;Obstacle;0;-1
-45932;-46.73122;-21.25320;324.59810;Obstacle;0;-1
-45946;-26.88756;-5.05399;312.81810;Obstacle;0;-1
-45960;-62.04964;0.23003;135.90850;Obstacle;0;-1
-45974;-62.05097;-20.22970;223.23750;Obstacle;0;-1
-45988;-35.54716;2.92432;238.58760;Obstacle;0;-1
-46002;-35.63551;-6.74212;153.92400;Obstacle;0;-1
-46016;-46.50262;-20.03893;14.45520;Obstacle;0;-1
-46030;-40.95028;19.30104;192.85440;Obstacle;0;-1
-46044;-25.16555;24.08210;344.37570;Obstacle;0;-1
-46058;-63.58938;-3.61114;277.46320;Obstacle;0;-1
